"","logFC","logCPM","PValue","FDR"
"Lus10001041.g.BGIv1.0",-4.50510072217465,6.67097348382386,0,0
"Lus10008935.g.BGIv1.0",3.86453069689416,5.9457761676146,0,0
"Lus10024511.g.BGIv1.0",-3.64089164847613,7.45531783060474,0,0
"Lus10038768.g.BGIv1.0",-3.39134480683881,5.93295233120596,0,0
"Lus10040557.g.BGIv1.0",2.96132212702598,9.51059506102825,0,0
"Lus10003231.g.BGIv1.0",-2.51048819427469,8.5058421952317,0,0
"Lus10037817.g.BGIv1.0",2.47465345311168,7.59964472970239,0,0
"Lus10017095.g.BGIv1.0",2.46106853042454,7.61002498091174,0,0
"Lus10015339.g.BGIv1.0",-2.11946688947345,7.6714672340729,0,0
"Lus10006009.g.BGIv1.0",2.04925894717913,9.80289668222259,0,0
"Lus10015625.g.BGIv1.0",1.95053238102391,8.40313355442461,0,0
"Lus10012262.g.BGIv1.0",1.7581313542842,7.8884069769359,3.7124509243108e-298,1.34486628442262e-294
"Lus10040131.g.BGIv1.0",2.22924801655986,7.15308370792267,1.57753757271565e-296,5.27516429411707e-293
"Lus10040764.g.BGIv1.0",1.77348323319437,7.85049252002748,2.68991884761924e-291,8.35239015891828e-288
"Lus10001042.g.BGIv1.0",-4.42403438487734,6.00746827441827,3.23800259133603e-254,9.38394737653123e-251
"Lus10025751.g.BGIv1.0",2.26899241178242,6.95022204654812,1.16492177737432e-252,3.16501966151495e-249
"Lus10028689.g.BGIv1.0",-2.72015840922569,6.49939578143294,2.12194532552301e-251,5.42606383798887e-248
"Lus10042281.g.BGIv1.0",2.32849158024703,6.2761320770986,4.82989952750978e-250,1.16644756866876e-246
"Lus10034660.g.BGIv1.0",-3.09011105700974,5.67448575578122,1.60737423551191e-248,3.67758765220728e-245
"Lus10012684.g.BGIv1.0",-3.52339252234445,5.19711823052663,3.87189705246334e-232,8.41576183838169e-229
"Lus10017516.g.BGIv1.0",1.78633654049719,8.79957391846518,4.31983212848998e-228,8.94225821226609e-225
"Lus10016883.g.BGIv1.0",-2.11208412536812,7.10376352597254,5.02551830228891e-220,9.93019573267279e-217
"Lus10017212.g.BGIv1.0",-1.98179471512944,7.14270937154331,1.62884422799348e-218,3.07858641022194e-215
"Lus10022392.g.BGIv1.0",2.09122515063643,6.41840013704393,4.36633361800814e-218,7.90870369618466e-215
"Lus10033987.g.BGIv1.0",1.77320212894255,7.53579796331197,8.47616641217536e-216,1.4738697204147e-212
"Lus10016858.g.BGIv1.0",1.41175505400784,9.14062229323669,1.0483487678734e-209,1.75279881877786e-206
"Lus10016014.g.BGIv1.0",1.63404657063167,7.06078623298075,7.36712443742749e-207,1.18613432007189e-203
"Lus10020493.g.BGIv1.0",-4.00033634365409,5.0238037584648,1.73632897203218e-198,2.69571274082896e-195
"Lus10030635.g.BGIv1.0",1.51861204795769,8.10080779281253,1.08449668810379e-197,1.62566053546758e-194
"Lus10017991.g.BGIv1.0",1.82443481424774,6.87356957229111,7.055288191615e-189,1.02233477659232e-185
"Lus10008742.g.BGIv1.0",2.20005855544243,6.2782264476668,1.18904905343125e-182,1.66739198070032e-179
"Lus10001788.g.BGIv1.0",1.99037609834894,6.46105329504993,2.80382619945568e-180,3.80891027239181e-177
"Lus10038915.g.BGIv1.0",1.5591969893714,6.96780626644599,1.15140804993588e-173,1.51675331329584e-170
"Lus10004906.g.BGIv1.0",-3.7988681344407,4.67447528413792,1.4622675300697e-173,1.86959505293118e-170
"Lus10004410.g.BGIv1.0",-2.85889556258529,5.3028151634255,1.96194979222559e-173,2.43679769765253e-170
"Lus10002555.g.BGIv1.0",-2.47699903997199,6.04201937257967,3.41350364960872e-171,4.12190047644835e-168
"Lus10039314.g.BGIv1.0",-1.49118574949613,6.91809099871296,3.88513637929776e-159,4.56461523093116e-156
"Lus10032178.g.BGIv1.0",-2.15476853784536,6.75958504856351,2.22209743774534e-157,2.54202099253231e-154
"Lus10014508.g.BGIv1.0",-2.55249652452827,5.05034707157949,4.48492967109486e-155,4.99908660851704e-152
"Lus10034467.g.BGIv1.0",1.49208575394982,7.12700657428123,7.59131269289257e-154,8.25004885181833e-151
"Lus10020696.g.BGIv1.0",-1.2472208606192,8.25466296235457,1.1097423002253e-150,1.1766245739779e-147
"Lus10034207.g.BGIv1.0",-1.50837286668323,6.75299567368235,1.10221038892336e-149,1.14081399564017e-146
"Lus10042623.g.BGIv1.0",1.4349965156615,6.93818342226233,2.92916579222675e-149,2.96125037567184e-146
"Lus10039163.g.BGIv1.0",-5.55647097514502,3.98887171635673,4.75660473005289e-148,4.6994173686393e-145
"Lus10008537.g.BGIv1.0",1.29133680069673,7.71955732885286,4.84203710500113e-147,4.67751544425565e-144
"Lus10010883.g.BGIv1.0",2.05152118841806,6.67843541543537,9.20621196358952e-145,8.70007044063478e-142
"Lus10032935.g.BGIv1.0",1.57174027706175,7.2603371487763,2.19970347296069e-144,2.03453850368243e-141
"Lus10033633.g.BGIv1.0",-4.23617105042819,4.07531576051709,3.43300730532506e-140,3.10908876187053e-137
"Lus10008167.g.BGIv1.0",-2.27748386170674,5.20272069857012,8.26976584236757e-140,7.33663246803185e-137
"Lus10006887.g.BGIv1.0",1.57607581814652,6.69606052778278,9.95482784544532e-140,8.65492642538707e-137
"Lus10028589.g.BGIv1.0",-1.65295733891098,7.39455137255792,6.77183486265535e-139,5.77212614342139e-136
"Lus10022191.g.BGIv1.0",-3.42722957106363,4.51975850275837,3.37979621054146e-138,2.82544463593169e-135
"Lus10007656.g.BGIv1.0",1.94269135737673,5.96612092146532,4.72102355339357e-134,3.87221914885985e-131
"Lus10009911.g.BGIv1.0",-1.76500359169725,6.16263589720465,7.70503249516365e-134,6.20269384439369e-131
"Lus10024061.g.BGIv1.0",1.35078866891638,7.19691309050421,1.64034569425754e-133,1.29649941227399e-130
"Lus10036099.g.BGIv1.0",1.48234929993663,6.65131482342025,1.59191148092486e-132,1.23574971405865e-129
"Lus10020437.g.BGIv1.0",1.19249836361887,7.97239572705129,1.38828718492183e-130,1.05877600378486e-127
"Lus10015437.g.BGIv1.0",1.53223424886039,6.17283335237326,1.4895320075861e-127,1.11640423968578e-124
