# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "/Dydaktyka/sample_data/refs/ERCC92.gtf" "-g" "gene_name" "-o" "counts.txt" "HBR1.bam" "HBR2.bam" "HBR3.bam" "UHR1.bam" "UHR2.bam" "UHR3.bam" 
Geneid	Chr	Start	End	Strand	Length	HBR1.bam	HBR2.bam	HBR3.bam	UHR1.bam	UHR2.bam	UHR3.bam
ERCC-00002	ERCC-00002	1	1061	+	1061	37680	46946	41996	39810	25810	33768
ERCC-00003	ERCC-00003	1	1023	+	1023	2892	3154	3022	3480	2192	2670
ERCC-00004	ERCC-00004	1	523	+	523	910	1072	992	9156	6648	7326
ERCC-00009	ERCC-00009	1	984	+	984	634	770	708	1382	950	1106
ERCC-00012	ERCC-00012	1	994	+	994	0	0	0	2	0	0
ERCC-00013	ERCC-00013	1	808	+	808	0	0	0	4	4	0
ERCC-00014	ERCC-00014	1	1957	+	1957	26	20	8	20	4	16
ERCC-00016	ERCC-00016	1	844	+	844	0	0	0	0	0	0
ERCC-00017	ERCC-00017	1	1136	+	1136	0	0	0	0	0	2
ERCC-00019	ERCC-00019	1	644	+	644	6	10	4	26	22	24
ERCC-00022	ERCC-00022	1	751	+	751	298	328	322	402	198	306
ERCC-00024	ERCC-00024	1	536	+	536	0	0	0	0	0	0
ERCC-00025	ERCC-00025	1	1994	+	1994	158	156	120	266	194	214
ERCC-00028	ERCC-00028	1	1130	+	1130	4	0	0	12	16	10
ERCC-00031	ERCC-00031	1	1138	+	1138	0	2	8	8	0	0
ERCC-00033	ERCC-00033	1	2022	+	2022	0	0	0	0	0	6
ERCC-00034	ERCC-00034	1	1019	+	1019	16	32	24	38	14	36
ERCC-00035	ERCC-00035	1	1130	+	1130	94	156	114	256	130	200
ERCC-00039	ERCC-00039	1	740	+	740	2	2	6	8	6	2
ERCC-00040	ERCC-00040	1	744	+	744	0	0	0	0	0	2
ERCC-00041	ERCC-00041	1	1122	+	1122	0	2	2	0	0	0
ERCC-00042	ERCC-00042	1	1023	+	1023	658	758	676	1460	1058	1344
ERCC-00043	ERCC-00043	1	1023	+	1023	1702	1950	1844	2170	1450	1728
ERCC-00044	ERCC-00044	1	1156	+	1156	220	320	242	360	204	256
ERCC-00046	ERCC-00046	1	522	+	522	3144	3328	3142	3798	2494	2912
ERCC-00048	ERCC-00048	1	992	+	992	0	0	0	0	0	0
ERCC-00051	ERCC-00051	1	274	+	274	4	0	4	18	10	4
ERCC-00053	ERCC-00053	1	1023	+	1023	28	34	22	54	58	70
ERCC-00054	ERCC-00054	1	274	+	274	4	4	6	6	0	2
ERCC-00057	ERCC-00057	1	1021	+	1021	0	0	0	0	0	0
ERCC-00058	ERCC-00058	1	1136	+	1136	2	14	10	2	6	6
ERCC-00059	ERCC-00059	1	525	+	525	22	16	30	28	14	12
ERCC-00060	ERCC-00060	1	523	+	523	184	204	198	474	330	336
ERCC-00061	ERCC-00061	1	1136	+	1136	0	0	0	0	0	0
ERCC-00062	ERCC-00062	1	1023	+	1023	24	24	8	192	112	156
ERCC-00067	ERCC-00067	1	644	+	644	0	0	4	2	0	4
ERCC-00069	ERCC-00069	1	1137	+	1137	2	12	8	6	2	2
ERCC-00071	ERCC-00071	1	642	+	642	78	96	64	134	64	100
ERCC-00073	ERCC-00073	1	603	+	603	2	0	0	2	2	0
ERCC-00074	ERCC-00074	1	522	+	522	20910	24722	22870	31328	23138	26266
ERCC-00075	ERCC-00075	1	1023	+	1023	0	0	0	0	0	0
ERCC-00076	ERCC-00076	1	642	+	642	198	282	240	252	150	194
ERCC-00077	ERCC-00077	1	273	+	273	2	0	0	0	4	2
ERCC-00078	ERCC-00078	1	993	+	993	82	100	110	90	50	64
ERCC-00079	ERCC-00079	1	644	+	644	56	76	96	90	56	68
ERCC-00081	ERCC-00081	1	534	+	534	0	0	0	0	0	0
ERCC-00083	ERCC-00083	1	1022	+	1022	0	0	0	0	0	0
ERCC-00084	ERCC-00084	1	994	+	994	54	68	82	92	50	58
ERCC-00085	ERCC-00085	1	844	+	844	4	4	0	24	4	22
ERCC-00086	ERCC-00086	1	1020	+	1020	0	0	0	0	0	0
ERCC-00092	ERCC-00092	1	1124	+	1124	66	110	82	700	512	610
ERCC-00095	ERCC-00095	1	521	+	521	40	60	40	330	224	250
ERCC-00096	ERCC-00096	1	1107	+	1107	20638	25614	22532	43926	28752	36280
ERCC-00097	ERCC-00097	1	523	+	523	0	0	0	4	0	0
ERCC-00098	ERCC-00098	1	1143	+	1143	0	0	0	0	0	0
ERCC-00099	ERCC-00099	1	1350	+	1350	36	34	22	32	26	38
ERCC-00104	ERCC-00104	1	2022	+	2022	0	0	2	0	4	0
ERCC-00108	ERCC-00108	1	1022	+	1022	218	222	248	1838	1226	1662
ERCC-00109	ERCC-00109	1	536	+	536	0	0	0	0	4	0
ERCC-00111	ERCC-00111	1	994	+	994	1042	1252	992	1318	960	1110
ERCC-00112	ERCC-00112	1	1136	+	1136	360	486	444	428	314	326
ERCC-00113	ERCC-00113	1	840	+	840	7056	8560	7740	9850	6656	8516
ERCC-00116	ERCC-00116	1	1991	+	1991	298	288	284	2044	1414	2008
ERCC-00117	ERCC-00117	1	1136	+	1136	0	0	0	0	0	0
ERCC-00120	ERCC-00120	1	536	+	536	2	0	0	0	0	0
ERCC-00123	ERCC-00123	1	1022	+	1022	0	0	0	0	0	0
ERCC-00126	ERCC-00126	1	1118	+	1118	6	6	10	26	4	22
ERCC-00130	ERCC-00130	1	1059	+	1059	8062	10632	8728	69646	44730	56918
ERCC-00131	ERCC-00131	1	771	+	771	38	72	40	306	182	266
ERCC-00134	ERCC-00134	1	274	+	274	0	0	2	0	0	0
ERCC-00136	ERCC-00136	1	1033	+	1033	512	604	482	4440	3042	3578
ERCC-00137	ERCC-00137	1	537	+	537	0	0	0	2	4	0
ERCC-00138	ERCC-00138	1	1024	+	1024	2	0	0	0	2	0
ERCC-00142	ERCC-00142	1	493	+	493	0	0	0	0	2	0
ERCC-00143	ERCC-00143	1	784	+	784	0	6	2	8	10	6
ERCC-00144	ERCC-00144	1	538	+	538	2	2	8	20	10	8
ERCC-00145	ERCC-00145	1	1042	+	1042	970	1378	1116	1540	974	1216
ERCC-00147	ERCC-00147	1	1023	+	1023	0	0	0	0	0	0
ERCC-00148	ERCC-00148	1	494	+	494	2	0	10	6	2	10
ERCC-00150	ERCC-00150	1	743	+	743	0	6	2	4	8	0
ERCC-00154	ERCC-00154	1	537	+	537	2	0	2	2	14	8
ERCC-00156	ERCC-00156	1	494	+	494	0	0	0	0	0	0
ERCC-00157	ERCC-00157	1	1019	+	1019	22	18	30	26	24	24
ERCC-00158	ERCC-00158	1	1027	+	1027	0	0	4	2	2	4
ERCC-00160	ERCC-00160	1	743	+	743	16	42	28	26	18	20
ERCC-00162	ERCC-00162	1	523	+	523	56	44	54	98	74	66
ERCC-00163	ERCC-00163	1	543	+	543	10	14	26	12	8	18
ERCC-00164	ERCC-00164	1	1022	+	1022	0	2	0	0	0	0
ERCC-00165	ERCC-00165	1	872	+	872	66	128	82	102	56	74
ERCC-00168	ERCC-00168	1	1024	+	1024	4	2	2	0	2	0
ERCC-00170	ERCC-00170	1	1023	+	1023	2	4	6	36	28	30
ERCC-00171	ERCC-00171	1	505	+	505	1832	2506	2112	3802	2672	3308
