#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Protein product	Length	Protein name
Un	NW_017718123.1	7935	8858	-	109337623	LOC109337623	XP_019430182.1	279	PREDICTED: transcription factor MYB44-like
Un	NW_017718974.1	90043	96920	+	109338020	LOC109338020	XP_019430693.1	430	PREDICTED: transcription factor MYB51-like
Un	NW_017719231.1	33168	34650	-	109338170	LOC109338170	XP_019430871.1	325	PREDICTED: transcription factor MYB80-like
Un	NW_017719923.1	17189	18910	+	109338398	LOC109338398	XP_019431173.1	297	PREDICTED: transcription factor MYB108-like isoform X1
Un	NW_017719923.1	17207	18910	+	109338398	LOC109338398	XP_019431174.1	291	PREDICTED: transcription factor MYB108-like isoform X2
Un	NW_017723445.1	3028	4429	-	109339331	LOC109339331	XP_019432290.1	291	PREDICTED: transcription factor MYB108-like isoform X2
Un	NW_017723445.1	3028	4429	-	109339331	LOC109339331	XP_019432289.1	295	PREDICTED: transcription factor MYB108-like isoform X1
Un	NW_017723670.1	93827	96531	+	109339455	LOC109339455	XP_019432442.1	417	PREDICTED: transcription factor MYB34-like isoform X1
Un	NW_017723670.1	93827	96531	+	109339455	LOC109339455	XP_019432443.1	399	PREDICTED: transcription factor MYB34-like isoform X2
Un	NW_017724139.1	3276	5210	-	109339601	LOC109339601	XP_019432605.1	227	PREDICTED: transcription factor MYB75-like
Un	NW_017726524.1	20563	22356	-	109340448	LOC109340448	XP_019433690.1	457	PREDICTED: transcription factor MYB108-like
Un	NW_017728166.1	2301	3707	-	109341899	LOC109341899	XP_019435416.1	339	PREDICTED: transcription factor MYB26-like
LG01	NC_032009.1	2678176	2680112	-	109346957	LOC109346957	XP_019442243.1	353	PREDICTED: transcription factor MYB36-like
LG01	NC_032009.1	23592982	23594770	-	109357172	LOC109357172	XP_019456496.1	286	PREDICTED: transcription factor MYB1R1-like
LG01	NC_032009.1	23896517	23898423	-	109362577	LOC109362577	XP_019464038.1	426	PREDICTED: transcription factor MYB98-like
LG01	NC_032009.1	24169508	24171004	+	109357663	LOC109357663	XP_019457200.1	382	PREDICTED: transcription factor MYB86-like isoform X1
LG01	NC_032009.1	34790188	34803848	-	109362532	LOC109362532	XP_019463949.1	332	PREDICTED: transcription factor MYB86-like isoform X4
LG01	NC_032009.1	34802360	34803848	-	109362532	LOC109362532	XP_019463941.1	379	PREDICTED: transcription factor MYB86-like isoform X3
LG01	NC_032009.1	34802360	34803848	-	109362532	LOC109362532	XP_019463933.1	380	PREDICTED: transcription factor MYB86-like isoform X2
LG01	NC_032009.1	34802360	34803848	-	109362532	LOC109362532	XP_019463924.1	411	PREDICTED: transcription factor MYB86-like isoform X1
LG01	NC_032009.1	34850088	34850916	+	109339520	LOC109339520	XP_019432546.1	246	PREDICTED: transcription factor MYB98-like
LG01	NC_032009.1	34851290	34851973	+	109339600	LOC109339600	XP_019432634.1	227	PREDICTED: transcription factor MYB98-like, partial
LG01	NC_032009.1	35038761	35040351	+	109362819	LOC109362819	XP_019464401.1	293	PREDICTED: transcription factor MYB1R1-like
LG02	NC_032010.1	5431566	5441647	+	109334291	LOC109334291	XP_019425531.1	277	PREDICTED: transcription factor MYB23-like isoform X1
LG02	NC_032010.1	22146505	22148360	-	109339782	LOC109339782	XP_019432847.1	220	PREDICTED: transcription factor MYB3-like isoform X1
LG02	NC_032010.1	23364069	23365079	+	109328406	LOC109328406	XP_019417411.1	185	PREDICTED: transcription factor MYB86-like
LG03	NC_032011.1	199274	202403	+	109342498	LOC109342498	XP_019436020.1	461	PREDICTED: transcription factor MYB80-like
LG03	NC_032011.1	3470461	3473089	-	109342534	LOC109342534	XP_019436053.1	227	PREDICTED: transcription factor MYB90-like
LG03	NC_032011.1	3499850	3502246	-	109342267	LOC109342267	XP_019435832.1	222	PREDICTED: transcription factor MYB90-like
LG03	NC_032011.1	11737952	11739694	-	109342336	LOC109342336	XP_019435883.1	437	PREDICTED: transcription factor MYB98-like
LG03	NC_032011.1	24193997	24194806	-	109343874	LOC109343874	XP_019437919.1	269	PREDICTED: transcription factor MYB44-like
